time_index	season	holiday	workingday	weather	temp	atemp	humidity	windspeed	casual	registered	count
81	Sp	0	1	1	6.3	8.6	85	27.9993	1	40	41
82	Sp	0	1	1	4.9	6.6	87	19.9995	3	15	18
83	Sp	0	1	1	4.7	7.7	48	8.9981	65	178	243
84	Sp	0	1	1	5	8.1	59	22.0028	28	69	97
85	Sp	0	1	1	9.1	11	79	30.0026	3	22	25
86	Sp	0	1	1	9.7	12.3	55	26.0027	57	148	205
87	Sp	0	1	1	9.2	11.3	62	19.9995	0	20	20
88	Sp	0	1	1	11.4	14.2	96	23.9994	5	7	12
89	Sp	0	1	1	9.1	9.9	80	22.0028	3	12	15
90	Sp	0	1	1	6	8.3	57	15.0013	1	110	111
91	Sp	0	1	1	5	6.9	96	19.9995	10	31	41
92	Sp	0	1	1	4.3	6.2	71	12.998	14	56	70
93	Sp	0	1	1	3.9	5.6	49	8.9981	1	1	2
94	Sp	0	1	1	4.9	6.8	64	11.0014	7	46	53
95	Sp	0	1	1	7.8	12.2	74	26.0027	4	6	10
96	Sp	0	1	1	8.2	10.6	63	11.0014	78	319	397
97	Sp	0	1	1	9.2	12.4	72	0	26	74	100
98	Sp	0	1	1	6.1	8.3	49	6.0032	3	7	10
99	Sp	0	1	1	9.5	12.1	51	0	20	185	205
101	Sp	0	1	2	8.7	10.7	96	0	10	24	34
102	Sp	0	0	2	7	8.5	89	6.0032	9	74	83
103	Sp	0	0	1	5.1	7.3	74	0	1	3	4
104	Sp	0	0	1	9.3	12.9	52	8.9981	1	6	7
106	Sp	0	0	1	11.1	15	54	15.0013	1	6	7
107	Sp	0	0	1	11.3	12.2	51	19.9995	1	2	3
108	Sp	0	0	1	12.7	18.2	58	19.0012	40	142	182
109	Sp	0	0	2	14.7	18.1	54	12.998	6	34	40
110	Sp	0	0	2	10.7	15.1	59	16.9979	3	9	12
111	Sp	0	0	2	12.8	16.1	53	15.0013	1	1	2
112	Sp	0	0	1	11.7	15.2	74	8.9981	2	58	60
113	Sp	0	0	1	7.8	9.8	64	0	0	1	1
114	Sp	0	0	1	11.8	14.9	70	16.9979	28	73	101
115	Sp	0	0	1	9.3	11.5	66	15.0013	25	504	529
116	Sp	0	0	1	7.3	10.1	71	11.0014	20	90	110
117	Sp	1	0	2	9.8	11.5	21	15.0013	1	2	3
118	Sp	1	0	2	7.4	9.1	54	12.998	11	70	81
119	Sp	1	0	2	5.8	8.9	76	16.9979	4	19	23
120	Sp	1	0	2	7.4	10.9	68	8.9981	10	63	73
121	Sp	1	0	2	6.8	8.5	50	8.9981	100	188	288
122	Sp	1	0	2	8.8	12	63	11.0014	5	9	14
123	Sp	1	0	2	6.5	8.4	41	11.0014	71	3227	3298
124	Sp	0	1	2	9.7	13.4	32	15.0013	3	20	23
125	Sp	0	1	2	10.2	13.2	52	12.998	30	128	158
126	Sp	0	1	2	9.3	9.9	69	0	2	8	10
127	Sp	0	1	3	9.3	12.2	67	8.9981	1	1	2
128	Sp	0	1	2	10.6	12.9	75	7.0015	672	2104	2776
129	Sp	0	1	2	10.9	15	55	7.0015	12	240	252
130	Sp	0	1	2	13.6	18	46	6.0032	8	643	651
131	Sp	0	1	2	12.4	14.1	66	6.0032	1	25	26
132	Sp	0	1	1	17.2	20.8	69	26.0027	216	456	672
133	Sp	0	1	1	14.8	19	71	22.0028	64	98	162
134	Sp	0	1	1	14.4	19.1	54	19.9995	2	11	13
135	Sp	0	1	1	13.1	14.2	86	27.9993	0	38	38
136	Sp	0	1	2	6.2	8.1	84	0	8	16	24
137	Sp	0	1	3	6.1	8.4	57	0	0	2	2
138	Sp	0	1	2	7.7	8.7	84	0	27	61	88
139	Sp	0	1	2	9.6	13.8	59	6.0032	3	33	36
140	Sp	0	1	2	8.8	10.6	60	7.0015	24	41	65
141	Sp	0	1	2	8.7	10.4	56	8.9981	3	43	46
142	Sp	0	1	3	8.6	11.5	39	12.998	0	2	2
143	Sp	0	1	3	8.2	11.4	49	8.9981	3	5	8
144	Sp	0	1	3	10.8	14	96	15.0013	11	227	238
145	Sp	0	1	2	9.3	12.2	66	0	165	251	416
146	Sp	0	1	1	15.7	18.1	54	22.0028	96	204	300
147	Sp	0	1	1	16.6	19.3	61	35.0008	5	17	22
148	Sp	0	1	1	13.5	17.3	90	36.9974	269	1195	1464
149	Sp	0	1	1	11	13.5	86	32.9975	8	40	48
150	Sp	0	1	1	11	14.6	66	36.9974	161	913	1074
151	Sp	0	1	1	4.8	6.9	64	22.0028	5	37	42
152	Sp	0	1	1	7.1	10.7	26	19.9995	17	81	98
153	Sp	0	1	1	7.1	8	86	30.0026	2	110	112
154	Sp	0	1	1	9.5	10.8	73	23.9994	1	4	5
155	Sp	0	1	1	7.9	11.1	83	26.0027	0	12	12
156	Sp	0	1	1	8.5	10.1	62	7.0015	5	10	15
157	Sp	0	1	2	7.8	12.3	68	0	60	139	199
158	Sp	0	1	2	6.3	10	62	7.0015	1	3	4
159	Sp	0	1	2	8.4	10.9	89	8.9981	16	30	46
160	Sp	0	1	2	11.8	14.1	74	16.9979	21	85	106
161	Sp	0	1	2	9.3	13.9	95	8.9981	8	19	27
162	Sp	0	1	2	10.2	12.1	99	11.0014	79	613	692
163	Sp	0	1	2	8.2	12.9	60	11.0014	1	4	5
164	Sp	0	0	2	11.9	13.8	54	11.0014	1	2	3
165	Sp	0	0	3	9.3	13.6	69	8.9981	51	102	153
166	Sp	0	0	3	8	11.3	67	6.0032	2	5	7
167	Sp	0	0	3	7.9	12.5	68	11.0014	6	16	22
168	Sp	0	0	3	9.8	11.9	73	0	2	28	30
169	Sp	0	0	1	11.5	15	96	16.9979	12	171	183
170	Sp	0	0	1	11	14.5	85	15.0013	8	126	134
171	Sp	0	0	1	11.2	13.5	39	12.998	0	6	6
172	Sp	0	0	1	9.4	11.8	51	7.0015	0	32	32
173	Sp	0	0	1	11.8	14.7	100	16.9979	43	180	223
174	Sp	0	0	1	13.2	16	60	16.9979	30	48	78
175	Sp	0	0	1	11.4	14.3	66	11.0014	2	40	42
176	Sp	0	1	1	10	11.5	13	0	4	21	25
177	Sp	0	1	1	8.5	12.8	51	0	7	14	21
178	Sp	0	1	1	6.4	8.1	68	0	0	3	3
179	Sp	0	1	1	5.7	8.2	55	0	121	210	331
180	Sp	0	1	1	11.2	14.5	52	6.0032	21	36	57
181	Sp	0	1	2	13.6	17.2	59	0	12	21	33
182	Sp	0	1	2	13.9	18.8	42	6.0032	69	197	266
183	Sp	0	1	2	14.8	17	63	8.9981	66	755	821
184	Sp	0	1	2	12.9	15.3	98	0	40	273	313
185	Sp	0	1	2	11.7	14.9	34	0	4	5	9
186	Sp	0	1	2	11.4	15.1	93	0	11	20	31
187	Sp	0	1	2	11.5	15.3	31	7.0015	19	43	62
188	Sp	0	1	1	8.5	9.9	52	32.9975	19	173	192
189	Sp	0	1	1	9.3	11.3	76	31.0009	6	35	41
190	Sp	0	1	1	8.8	9.3	87	32.9975	53	183	236
191	Sp	0	1	1	9	12.1	58	27.9993	52	336	388
192	Sp	0	1	1	10.1	11.9	44	35.0008	11	63	74
193	Sp	0	1	1	7.7	9.6	69	26.0027	61	442	503
194	Sp	0	1	1	2.8	5.3	61	23.9994	17	47	64
195	Sp	0	1	1	2.9	4.8	62	15.0013	1	3	4
196	Sp	0	1	1	3.7	7.8	73	19.0012	44	199	243
197	Sp	0	1	1	2.5	4.5	48	0	6	37	43
198	Sp	0	1	1	5.4	10.4	76	0	17	96	113
199	Sp	0	1	2	8.5	10.6	40	19.0012	14	84	98
200	Sp	0	1	2	8.2	10	65	16.9979	30	47	77
201	Sp	0	1	2	6.4	7.4	40	19.9995	145	3985	4130
202	Sp	0	1	3	7.3	9.2	82	16.9979	3	5	8
203	Sp	0	1	3	5.1	5.9	35	11.0014	1	5	6
204	Sp	0	1	2	5	7.2	68	11.0014	6	14	20
205	Sp	0	1	3	6.8	10.3	70	11.0014	2	30	32
206	Sp	0	1	3	4.4	7.6	86	8.9981	12	82	94
207	Sp	0	1	3	4.5	8	41	8.9981	1	7	8
208	Sp	0	1	1	7.9	9.7	94	26.0027	5	8	13
209	Sp	0	1	1	7.3	11.5	61	19.9995	69	135	204
210	Sp	0	1	1	8.3	11.7	39	19.0012	18	33	51
211	Sp	0	1	1	6.7	10.2	75	6.0032	31	145	176
212	Sp	0	1	1	5	6.9	47	7.0015	92	181	273
213	Sp	0	1	1	4.7	6	70	7.0015	8	38	46
214	Sp	0	1	1	4.7	7.5	72	6.0032	1	2	3
215	Sp	0	1	1	5.8	9.4	75	12.998	9	27	NA
216	Sp	0	1	1	9.9	12.6	67	8.9981	6	54	60
217	Sp	0	1	1	8.3	11.3	67	8.9981	14	731	745
218	Sp	0	0	1	6.2	7.5	92	0	13	113	126
219	Sp	0	0	1	6.7	9.7	84	0	1	7	8
220	Sp	0	0	1	8.9	11.3	49	16.9979	608	3572	4180
222	Sp	0	0	1	9.5	12.3	59	11.0014	137	254	391
223	Sp	0	0	1	10.2	12.8	53	6.0032	1	2	3
224	Sp	0	0	2	9.6	13.7	81	11.0014	7	19	26
225	Sp	0	0	2	10.3	13.6	26	15.0013	59	1003	1062
226	Sp	0	0	1	14.2	18.2	40	31.0009	76	536	612
227	Sp	0	0	2	15.9	18.5	58	27.9993	16	219	235
228	Sp	0	0	1	18.2	22.3	63	22.0028	22	467	489
229	Sp	0	0	1	16.2	18.8	44	19.9995	33	219	252
230	Sp	0	0	1	16.7	21.2	49	22.0028	19	311	330
231	Sp	0	1	1	17.3	21.2	86	23.9994	2	8	10
232	Sp	0	1	1	14	16.7	41	19.9995	1	2	3
233	Sp	0	1	1	13.9	17	78	19.9995	102	1938	2040
234	Sp	0	1	1	16.4	18.3	74	26.0027	125	238	363
235	Sp	0	1	1	23.3	26.6	64	30.0026	78	203	281
236	Sp	0	1	1	24.2	27.8	17	26.0027	7	20	27
237	Sp	0	1	1	15.8	18.4	81	40.9973	3	56	59
238	Sp	0	1	1	15.6	18	75	32.9975	0	50	50
239	Sp	0	1	1	15	19.5	75	31.0009	93	2492	2585
240	Sp	0	1	1	8.8	12.5	58	22.0028	61	216	277
241	Sp	0	1	1	9.3	12.9	61	23.9994	9	34	43
242	Sp	0	1	1	7.3	10.2	60	23.9994	84	210	294
243	Sp	0	1	1	14.6	15.4	72	15.0013	11	158	169
244	Sp	0	1	1	14.2	16.8	83	8.9981	39	78	117
245	Sp	0	1	1	8.2	11	71	0	13	22	35
246	Sp	0	1	1	8.4	10.7	66	15.0013	0	2	2
247	Sp	0	1	1	10.9	15.1	38	26.0027	1	2	3
248	Sp	0	1	1	15.9	19.7	59	23.9994	1	7	8
249	Sp	0	1	1	19.3	20	79	19.0012	12	277	289
250	Sp	0	1	1	15.9	18.6	91	15.0013	0	14	14
251	Sp	0	1	1	17.2	20	89	12.998	503	772	1275
252	Sp	0	1	1	13.8	17.6	89	12.998	62	235	297
253	Sp	0	1	1	13.4	16.9	97	12.998	0	3	3
254	Sp	0	1	1	12.8	15.4	78	12.998	0	2	2
255	Sp	0	1	1	12.4	14.2	54	6.0032	5	39	44
256	Sp	0	1	1	13.7	17.7	53	8.9981	17	87	104
257	Sp	0	1	1	14.5	16.9	68	7.0015	2	13	15
258	Sp	0	1	1	18.5	22.3	49	15.0013	3	15	18
259	Sp	0	1	2	24.4	27.3	49	19.9995	1	91	92
260	Sp	0	1	1	19.2	23.9	53	19.9995	37	77	114
261	Sp	0	1	1	17.2	20.8	61	19.0012	9	15	24
262	Sp	0	1	2	16.3	19.4	35	15.0013	2	15	17
263	Sp	0	1	2	17.5	21.6	64	12.998	84	367	451
264	Sp	0	1	1	25.3	29.2	63	19.9995	1	4	5
266	Sp	0	1	1	27	29.7	46	22.0028	222	586	808
267	Sp	0	0	1	19.8	22.6	94	32.9975	0	10	10
268	Sp	0	0	1	17.2	21.6	74	26.0027	11	26	37
269	Sp	0	0	1	17.2	22.3	74	43.9989	3	7	10
270	Sp	0	0	1	17.4	20	78	39.0007	111	218	329
271	Sp	0	0	1	17	19.2	60	40.9973	38	105	143
272	Sp	0	0	1	19.2	21.8	37	50.0021	1	3	4
273	Sp	0	0	1	11.9	14.6	85	30.0026	9	37	46
274	Sp	0	1	1	8.5	10.4	79	26.0027	0	5	5
275	Sp	0	1	1	8.2	11.7	85	19.0012	1	3	4
276	Sp	0	1	1	10	13.6	77	16.9979	4	18	22
277	Sp	0	1	1	12.8	15.3	73	8.9981	11	1095	1106
278	Sp	0	1	1	13.2	15.6	50	6.0032	0	2	2
279	Sp	0	1	1	13.5	15.6	43	8.9981	14	369	383
280	Sp	0	1	1	11.6	14.3	69	6.0032	63	397	460
281	Sp	0	1	1	8	11.7	52	0	12	363	375
282	Sp	0	1	1	9.4	12.9	95	19.0012	0	1	1
283	Sp	0	1	1	9.1	12.8	90	15.0013	17	32	49
284	Sp	0	1	1	9	10.2	70	16.9979	1	11	12
285	Sp	0	1	1	15	18.3	86	22.0028	50	79	129
286	Sp	0	1	1	16.6	21.5	64	12.998	13	58	71
287	Sp	0	1	1	21.2	23.9	38	19.9995	63	2063	2126
288	Sp	0	1	1	21.9	26.3	76	27.9993	42	222	264
289	Sp	0	1	1	16.3	19.3	84	35.0008	24	155	179
290	Sp	0	1	1	11.1	14.1	43	35.0008	10	37	47
291	Sp	0	1	1	11.4	13.7	89	31.0009	62	155	217
292	Sp	0	1	1	7.6	9.5	87	31.0009	1	2	3
293	Sp	0	1	1	4.8	7.2	25	19.9995	0	2	2
294	Sp	0	1	1	6.9	9.9	83	19.9995	45	105	150
295	Sp	0	1	1	7.3	10.7	26	6.0032	10	37	47
296	Sp	0	1	1	9.5	10	69	0	6	24	30
297	Sp	0	1	1	11.6	14.1	98	0	3	10	13
298	Sp	0	1	1	12.8	15.1	37	0	4	203	207
299	Sp	0	1	2	6.6	8.6	41	6.0032	1	8	9
300	Sp	0	1	2	6.5	9.6	69	12.998	0	1	1
301	Sp	0	1	2	8.1	12.2	41	16.9979	2	7	9
302	Sp	0	1	2	7.4	8.3	39	8.9981	11	20	31
303	Sp	0	1	1	10.4	12.1	52	15.0013	2	33	35
304	Sp	0	1	1	16	19.8	46	15.0013	65	507	572
305	Sp	0	1	1	12.8	14.3	85	16.9979	35	65	100
306	Sp	0	1	2	12.1	14.5	61	15.0013	0	3	3
307	Sp	0	0	2	11.4	13.3	72	7.0015	11	27	38
308	Sp	0	0	2	13	17	48	7.0015	2	7	9
309	Sp	0	NA	2	10.8	11.9	78	12.998	2	2	4
310	Sp	0	0	2	13.3	16.1	53	15.0013	9	321	330
311	Sp	0	0	2	16.6	19.5	97	15.0013	234	417	651
312	Sp	0	0	2	18.3	22.9	51	19.0012	1	52	53
313	Sp	0	0	2	19.7	23	71	19.0012	17	38	55
314	Sp	0	0	2	20	22.5	55	19.9995	9	109	118
315	Sp	0	0	2	19.4	23.5	72	22.0028	3	9	12
317	Sp	0	0	2	18.7	20.9	69	22.0028	0	3	3
318	Sp	0	0	2	18.9	22.3	82	19.9995	59	107	166
319	Sp	0	0	3	14.7	18.5	65	19.0012	4	193	197
320	Sp	0	0	3	13.2	16.1	48	19.9995	18	28	46
321	Sp	0	0	2	10.2	14.4	71	27.9993	25	70	95
322	Sp	0	1	3	8.1	11.5	88	22.0028	27	127	154
323	Sp	0	1	1	7.6	10.2	63	39.0007	1	1	2
324	Sp	0	1	1	7.5	8.9	77	26.0027	250	561	811
325	Sp	0	1	1	13.9	18.4	85	27.9993	168	669	837
326	Sp	0	1	1	14.6	16.8	84	23.9994	19	63	82
327	Sp	0	1	1	12.8	16.7	60	23.9994	207	539	746
328	Sp	0	1	1	11.8	16.2	58	11.0014	6	18	24
329	Sp	0	1	1	12.4	17.6	92	0	3	19	22
330	Sp	0	1	1	8.9	13.6	33	6.0032	7	16	23
331	Sp	0	1	1	9.2	10.8	85	7.0015	4	17	21
332	Sp	0	1	2	16	19.6	99	0	36	66	102
333	Sp	0	1	1	13.5	16.7	60	12.998	1	3	4
334	Sp	0	1	1	13.4	17.6	72	7.0015	171	1274	1445
335	Sp	0	1	1	9.5	12.7	86	12.998	20	75	95
336	Sp	0	1	1	12.3	14.8	83	6.0032	15	32	47
337	Sp	0	1	2	11	13.2	64	8.9981	0	2	2
338	Sp	0	1	2	10.6	12.2	55	16.9979	332	580	912
339	Sp	0	1	2	13	16.3	21	16.9979	0	16	16
340	Sp	0	1	2	14.6	18.3	67	19.9995	12	67	79
341	Sp	0	1	2	14.4	19.8	57	19.9995	0	1	1
342	Sp	0	1	2	12.3	15.6	90	22.0028	46	300	346
343	Sp	0	1	2	14.6	14.9	90	12.998	1	41	42
344	Sp	0	1	2	11.8	16.3	79	22.0028	12	28	40
345	Sp	0	1	3	15.5	17.8	57	12.998	36	72	108
346	Sp	0	1	3	14.5	17.9	65	16.9979	1	2	3
347	Sp	0	1	3	16.4	21	58	15.0013	1	2	3
348	Sp	0	1	3	16.4	18.4	84	19.0012	0	157	157
349	Sp	0	1	3	15.1	17.9	83	11.0014	1	1	2
350	Sp	0	1	3	15	19.1	31	16.9979	0	12	12
351	Sp	0	1	3	15.9	19.7	86	22.0028	1	5	6
352	Sp	0	1	3	15	18.1	42	7.0015	9	173	182
353	Sp	0	1	3	14.8	16.5	92	7.0015	0	6	6
354	Sp	0	1	1	12.1	16.3	62	19.0012	0	16	16
355	Sp	0	1	2	13.8	17.8	80	19.0012	0	299	299
356	Sp	0	1	2	13.5	17.2	61	19.9995	10	23	33
357	Sp	0	1	2	14.1	17.8	100	23.9994	13	289	302
358	Sp	0	1	2	14.6	17.4	53	16.9979	0	5	5
359	Sp	0	1	1	10.5	12.9	66	11.0014	7	80	87
360	Sp	0	1	2	13.3	17.6	62	16.9979	16	51	67
361	Sp	0	0	1	9.5	11.8	81	16.9979	6	12	18
362	Sp	0	0	1	12.7	15.7	70	7.0015	2140	3393	5533
363	Sp	0	0	1	14.4	18.4	82	23.9994	9	42	51
364	Sp	0	0	1	18.9	21.9	72	32.9975	10	30	40
365	Sp	0	0	1	16.1	19.6	63	11.0014	265	703	968
366	Sp	0	0	1	16.6	20.2	67	6.0032	25	74	99
367	Sp	0	0	1	16.3	18.9	81	7.0015	2	59	61
368	Sp	0	0	1	15.5	18.8	51	0	2	41	43
369	Sp	0	0	1	16.2	20.3	55	8.9981	4	43	47
370	Sp	0	0	1	12.3	14.1	43	11.0014	14	25	39
371	Sp	0	0	1	13.7	17.7	44	12.998	0	5	5
372	Sp	0	0	1	18.6	21.4	75	19.9995	115	215	330
373	Sp	0	0	1	20.2	24.4	79	22.0028	51	125	176
374	Sp	0	0	1	17.3	19.5	50	26.0027	24	39	63
375	Sp	0	0	1	17.5	20.5	99	23.9994	5	8	13
376	Sp	0	0	1	13	17.4	74	19.9995	6	134	140
378	Sp	0	1	1	10.7	13.1	59	6.0032	0	1	1
379	Sp	0	1	2	11.7	13.7	53	0	6	15	21
380	Sp	0	1	1	13.5	16.4	78	16.9979	37	665	702
381	Sp	0	1	1	15.3	19.5	31	0	1	47	48
382	Sp	0	1	1	16.5	19.2	65	22.0028	7	11	18
383	Sp	0	1	1	16.8	19.6	85	11.0014	33	102	135
384	Sp	0	1	1	16	21.4	72	12.998	156	427	583
385	Sp	0	1	1	13.3	15.3	73	8.9981	132	408	540
387	Sp	0	1	1	13.7	17.6	50	7.0015	10	460	470
388	Sp	0	1	1	8.7	10.4	65	12.998	1	6	7
389	Sp	0	1	1	10.7	14.5	45	6.0032	1	190	191
390	Sp	0	1	2	13.8	16.7	68	15.0013	0	19	19
391	Sp	0	1	2	14.2	17.6	33	19.0012	1	8	9
392	Sp	0	1	2	14.3	15.6	67	22.0028	434	789	1223
393	Sp	0	1	2	12	15.2	73	11.0014	3	16	19
394	Sp	0	1	3	13	16.5	46	16.9979	4	40	44
395	Sp	0	1	2	13	15.4	68	15.0013	1	1	2
396	Sp	0	1	2	11.9	14.2	73	7.0015	0	1	1
397	Sp	0	1	2	12.4	16.5	38	0	22	433	455
398	Sp	0	1	2	13.6	15.7	74	8.9981	16	29	45
399	Sp	0	1	2	17.1	20.4	36	8.9981	15	379	394
400	Sp	0	1	2	14.9	18.6	79	16.9979	181	643	824
401	Sp	0	1	2	17.8	21	53	19.0012	99	389	488
402	Sp	0	1	1	18.2	22.3	67	22.0028	44	124	168
403	Sp	0	1	1	20.1	23.9	82	15.0013	2890	5937	8827
404	Sp	0	1	2	20.5	23.1	57	11.0014	572	1117	1689
405	Sp	0	1	1	15.3	19.6	95	11.0014	6	69	75
406	Sp	0	1	1	16.6	21.3	17	12.998	41	82	123
407	Sp	0	1	1	18.4	22.7	91	15.0013	10	54	64
408	Sp	0	1	1	18.8	21.6	18	19.0012	5	70	75
409	Sp	0	1	1	20.4	23.3	78	19.0012	33	51	84
410	Sp	0	1	2	20.4	23.9	53	23.9994	48	116	164
411	Sp	0	1	1	25.2	28	96	8.9981	9	20	29
412	Sp	0	1	1	24.6	26.5	57	7.0015	7	13	20
413	Sp	0	0	2	20.7	23.3	73	15.0013	14	38	52
414	Sp	0	0	1	20.4	23.7	43	27.9993	1	1	2
415	Sp	0	0	1	17	19.5	53	27.9993	1	45	46
416	Sp	0	0	1	16.4	21.2	90	31.0009	31	68	99
417	Sp	0	0	1	19.5	22	51	30.0026	837	1268	2105
418	Sp	0	0	1	21	25	60	31.0009	200	1290	1490
419	Sp	0	0	1	15.2	19.3	45	19.9995	2	15	17
420	Su	0	1	3	11.7	14.8	76	11.0014	1	7	8
421	Su	0	1	3	10.8	13.7	68	11.0014	0	3	3
422	Su	0	1	3	10.3	14	63	15.0013	1	15	16
423	Su	0	1	2	10.3	13.9	67	16.9979	15	71	86
424	Su	0	1	1	12.8	15.5	85	23.9994	2	6	8
425	Su	0	1	1	11.3	14.6	48	19.0012	717	2705	3422
426	Su	0	1	1	13.7	17.1	68	23.9994	193	452	645
427	Su	0	1	1	16	19.9	69	23.9994	180	750	930
428	Su	0	1	2	15.9	18.9	48	23.9994	0	6	6
429	Su	0	1	1	10.8	12.7	58	8.9981	11	186	197
430	Su	0	0	2	12.8	16.7	45	0	18	33	51
431	Su	0	0	1	8.6	11	83	8.9981	2	39	41
432	Su	0	0	3	13.1	15.3	98	22.0028	7	12	19
433	Su	0	0	1	13.1	17.4	88	22.0028	7	202	209
434	Su	0	0	1	13.5	17	81	7.0015	7	37	44
436	Su	0	0	1	15.4	18.8	70	11.0014	0	1	1
437	Su	0	0	1	15.6	19.1	91	27.9993	359	540	899
438	Su	0	0	1	17.1	21.6	69	16.9979	579	1369	1948
439	Su	0	0	1	17.4	21.8	78	19.9995	14	26	40
440	Su	0	0	1	18.6	22.5	90	8.9981	16	65	81
441	Su	0	0	1	17	20.6	42	7.0015	264	1377	1641
442	Su	0	1	1	15.2	19.7	93	23.9994	5	8	13
